id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,collaboration_qual,competition_qual,collaboration_post,collaboration_qual_follow_up,competition_qual_follow_up,work_life,work_challenges,work_challenges_post,work_challenges_follow_up,takeaway,compassion_insight,global_challenge_insight,follow_up_meditation_binary,follow_up_meditation_style_Q,follow_up_changes_Q,anything_else,anything_else_post,anything_else_follow_up
Participant 11,"pre, post",36,Woman,Paris France,White or European descent,"Teaching yoga, writing",NA,NA,Moderate (2-3 Years),"Silent meditation, gratitude before eating",Yes,Yes,MBSR,Yes,"Introduction to Buddhism, Tushita meditation centre",Yes,No,NA,HOPI,Working with our teachers to plan events,It’s very much driven by social media,NA,NA,NA,Economically it’s tough. I’m still figuring out how to make it sustainable…,NA,"I'm figuring out what my work should be, which is in itself very confusing living in this late-capitalistic times...",NA,Brother Phap Linh's description of no-self was incredible. Mark Miller's explanation of the brain as a predictive organ.,NA,Every time I go to plum village I realise a little deeper that personal transformation - cultivating compassion and understanding of interbeing - is a huge part of meeting global challenges,NA,NA,NA,NA,The retreat was wonderful.,NA
Participant 12,pre,30,Woman,Barcelona,White or European descent,"Academia, Healthcare, Science & Research",I'm in charge of developing digital twins of the brain in the context of Alzheimer's Disease with the aim of using them to personalize non-invasive stimulation therapies.,Senior Researcher Neuroelectrics + PhD candidate in biomedicine at Universitat Pompeu Fabra,Very Little,We have a Sangha in town where we meet every two weeks to meditate and do a dharma sharing.,Yes,No,NA,No,NA,Yes,Yes,"We have a green park with open air in 5min walk, and then in 30min we can be at the closest mountain or at the beach.",Sangha del Pi BCN,"Diving tasks to accomplish one common goal, teaming up with people/groups that have a different speciality. E.g., teaming up with hospitals that want to do pilot studies with the research we do /or teaming up with experimentalists that want to validate the models we create.
Asking for help to other scientists that have a different knowledge than you. E.g., asking for a training to a group that does tractography (diffusion MRI processing) to share our knowledge. 
Journal Clubs.
Asking to collaborate in creating a paper.","We compete with other groups for research grants. But usually it is anonymous. 
We do similar work of other research groups. 
We want to get as many publications as we can.",NA,NA,NA,"I'm in a moment of change. The company is losing money and everyone is leaving, all the people I used to work with for many years. So the environment it's a bit depressing to me. I also feel demotivated and as soon as I finish the PhD I'll try to find something that I feel motivated to do.","Hi everyone, thanks a lot for taking your time and energy to doing this type of research. It means a lot to me that there are people taking this seriously, and it feels my heart with hope. What you do its a step forward all the scientific community, and I feel deeply grateful. Thank you! Sending all of you a big hug.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 13,"pre, post",18,Man,Czech Republic,White or European descent,Education,NA,NA,None,NA,No,No,NA,Yes,Vipassana retreat in Thailand,No,Yes,"Forests, meadows

I go there rarely, because I feel having so little energy and motivation",NA,I feel it’s awareness that we all can move forward together and taking action with it,I feel it’s trying to beat others while thinking it’s the best action I can take,"The insight that we all have very similar aspirations. I nearly lost my hope before coming for the retreat but seeing so many of us being able to be compassionate, caring and searching for ways of help and service really encouraged me not to give up.",NA,NA,I’m student and it feels heavier and heavier. It’s difficult to cope with it while not having any motivation to do so because of having no sense of life.,NA,NA,NA,NA,I really was impressed by the experience of deep listening practice. It really helped me to trust it. I do believe it’s way of restoring communication in our world and generating compassion.,"What really helped me, was the experience of being in community. I feel it’s the way for us to support each other and not to feel alone in trying to make the world a better place.",NA,NA,NA,NA,NA,NA
Participant 14,pre,56,Man,"Valencia, Spain",White or European descent,"Healthcare, Science & Research, Humanitarian, Coaching",Public Health Emergencies; Personal development,NA,Experienced (3-5 Years),"Meditation, Mindfulness (both in Plum Village Tradition), Grounding practices (Chi Gong), Regular Exercise, Microdosing psilocybin, Psilocybin experiences",Yes,Yes,MBSR,No,NA,Yes,No,NA,"Flowing river Sangha (online, a group of friends in the practice)","Online and remote most of the time, sometimes sincere, others transactional","Not much in my current job. In past jobs, competition created a toxic environment, which contributed to burn-out and my quitting those jobs",NA,NA,NA,"A bit isolating (it is remote work) and frustrating, but full with purpose and potential. Very challenging given the current international dynamics in the aid world and the huge challenges we face","The biggest challenge in the coaching and spiritual development area where I work (including the facilitation of psychedelic experiences and their integration) is the flood of guru-based mis-information available through social media, and the damage it can make - difficult to compete with it even with the best intentions",NA,NA,NA,NA,NA,NA,NA,NA,"Many of the answers to these questions would've been very different just 4 years ago (a much more pessimistic look on life and my work). At the time when I was working full time in high-level jobs managing complex projects, and ended up with burn-out. After resigning I took a sabbatical year, which included a lot of self exploration and personal transformation (with the great support of the Plum Village community through a number of retreats and sangha). Now I am back to that world (Health Emergencies) as a consultant, with much better boundaries, while developing a wellness practices that combines transformational coaching with the (sparse) use of psychedelics for self-discovery.",NA,NA
Participant 15,pre,40,Man,Canada,White or European descent,"Academia, Education, Science & Research","Cognitive science, philosophy of science, contemplative science","Sessional Lecturer, University of Toronto",Very Experienced (5+ Years),"Meditation, walking meditation, mindfulness in daily life",No,No,NA,Yes,Goenka Vipassana retreats,Yes,Yes,"Toronto's ravine system. I try to go there for long walks at least once a week, but more often every couple of weeks.",Wake Up Toronto,Taking time to talk with each other and to renew our curiosity,Trying to get papers out before other people,NA,NA,NA,It feels like finding my voice at a time when the world is fragmenting and changing rapidly,"I think most of us spend most of our working life precariously balanced between optimal challenge and burnout, with different days feeling quite different on those fronts. I don't expect a deep solution to this existential, social, political, and economic reality, but I did want to flag it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 16,"pre, post, follow_up",42,Prefer not to answer,"The Hague, The Netherlands",Mixed,"Academia, Information Technology, Science & Research, Interdisciplinary Art Science Practice","I am doing interdisciplinary arts-based research into the perception, cognition and speculative ethics of AI voice. I am interested in understanding the transformation of cognition, perception and world-being that hyper-realistic AI voice systems may bring, and how to navigate their implications for the social and individual benefits of music as a human activity.","Affiliate researcher Sussex Digital Humanities Lab (University of Sussex), and Intelligent Instruments Lab (University of Iceland)",Moderate (2-3 Years),"Daily meditation and Buddhist practice, primarily a mix of the Thai Dhammakaya and the Plum Village traditions.",Yes,No,NA,Yes,Dhammakaya retreat in Thailand.,Yes,Yes,"I live relatively close to the North Sea, there is a small woodland and duneland area about 15 minutes biking distance from my apartment.","Pebbles Sangha (online), Zen Heart Sangha (The Hague)","I pay people to work on elements of a larger artistic project, or I am commissioned to create a specific part of a larger artistic project.","The artistic field is extremely financially precarious and competitive. There is limited funding and one is constantly expected to be doing something new and cutting edge, leaving little room for developing a deep practice or a social community. People steal each others ideas rampantly, take credit for each other's work, and often are forced to lie about their work in order to receive funding, attention or success.",NA,"It is mostly isolated, independent work",There are few paid opportunities,"It is painful and frustrating, much of it seems meaningless and I feel I should be doing something with more purpose to help myself and others build community and resilience.",There is real fear about automation anxiety with AI systems and a general shift in the landscape of peer reviewed research. There is also a general malaise of overwork and burnout in the academic and artistic communities I am a part of.,NA,"It's frightening. I no longer have an income, and I don't know what kind of life is ahead",NA,NA,NA,Yes,Daily meditation. Occasionally joining a sangha,I am attempting to finish a phd,NA,NA,The science retreat was a bright spot in a difficult year. I feel very fortunate to have been able to attend. I wish there was more I could do to support the Plum Village community.
Participant 17,pre,67,Man,United States,White or European descent,Science & Research,"Social Science, Religion, Psychology, Economics, Geopolitical Economics, Global Capital",Self funded international direct engagement,Very Experienced (5+ Years),"Plum Village tradition, breath and body awareness, insight meditation.",Yes,Yes,MBSR,Yes,Mindfulness Practice Center of Fairfax,No,Yes,"My home is on 3 acres with large trees, an urban farm, and noticeable wildlife.",NA,"Investing time, attention, and resources in individual and collective projects comes with a full palette of feelings.",N/A,NA,NA,NA,Liberating,NA,NA,NA,NA,NA,NA,NA,NA,NA,"What a great planet we have, I like it here and want to take care of it. 

Thank you for your presence and please enjoy the ride.",NA,NA
Participant 18,"pre, post",30,Genderqueer or genderfluid,"Barcelona, Spain","Hispanic, Latino, or of Spanish origin, White or European descent","Academia, Arts",Ecofeminism and artistic practices,University of Lisbon; PhD candidate,Experienced (3-5 Years),I have been to plum village as a retreatant in 2023 and as a volunteer for 6 weeks in 2024. I have also done significant work with myself with different approaches for trauma that include therapy and somatic practices. I journal and practice yoga regularly and have a spiritual relationship to the world.,Yes,No,NA,No,NA,Yes,Yes,"Seaside, I go several times a week","Not very regularly - Barcelona wake up Sangha (in person), international queer sangha (online)",Not being afraid to share work and get feedback,"Comparing results and achievements, constant critique",I don't feel like we addressed this so much actually,NA,NA,Sometimes it feels confusing pointless; Other times it feels important and meaningful,"Sometimes it feels very challenging to do writing in the humanitis + arts research as a young person while being fully aware of how nothing is the truth and constantly hearing possible criticism that is so common in the academic field. It's hard to focus and keep going with all these little voices, even if I understand they are trying to help!",Challenging and curious and precarious and creative,NA,I really enjoyed understanding about imagination's role in undoing the illusion of separateness as well as learning about the importance of non fear,I think these highly lacked contextualization in the retreat too making it sound like these are great for wealthy white people to practice,No,NA,NA,NA,NA,NA,NA
Participant 19,pre,49,Woman,"Liberec, Czech Republic","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Education, Science & Research, Yoga teacher","Environmental microbiology, microplastics, textile microfibers, toxicity",Technical University of Liberec,Moderate (2-3 Years),I do mediation in yoga practice,Yes,No,NA,No,NA,Yes,Yes,"Forests and mountains surround my place. I often go for a walk and I go for a hike once a week in a forest with a decent distance, e.g. 5-20 km.",Plum Village in the Czech Republic,"The internal collaboration looks and feels like it has not been opened compared to international collaboration. It seems it is related to the culture. The international collaboration looks into materialisms, not by inner wills.","The internal competition is invisible, but it is there. And again, it feels like greed, comfort, fear, and unfairness cause the negative competition.",NA,NA,NA,environmental realities,"As a researcher working in the lab, one of the biggest challenges I face is dealing with waste, especially plastic waste generated during and after experiments. Another major obstacle in my research is the lack of opportunities to share internal academic work. There are no regular meetings or collaborative activities, so each individual or group tends to focus solely on their own projects without much academic exchange. Also, language barrier is the block for the internal communication. I feel that the information I have received less than the local people.",NA,NA,NA,NA,NA,NA,NA,NA,"The international collaboration has had a greater impact on me and has been helping me grow. Since I started yoga (three years now) and after my first visit to Plum Village (last December 2024), and then joined the local Sangha, I feel more comfortable with my mind and body because I trust people and share from the heart.",NA,NA
Participant 20,"pre, post",33,Woman,Netherlands,White or European descent,"Education, Healthcare","psychology, wellbeing, mental health","I study at NSG, Gestalt Institute in the Netherlands (it's not high education but a professional one)",Moderate (2-3 Years),"meditations, sitting and more incorporated in life like mindful walk and moments of contemplation. Listening to dharma teachers. I mostly connect to the Plum Village tradition and am also enthusiastic in different western teachers (e.g. Tara Brach, Jack Kornfield, Henry Shukman)",Yes,No,NA,No,NA,No,Yes,I have a small forest 10-15 minutes walking from my house. I visit it 1-2 times a week,NA,"co-creating together, sharing ideas, aligning on the vision and emotional sharing",competitors analysis to understand what is offered on the market and what can be my better/unique offer to attract clients,To collaborate is more important than to achieve the result. It's an insight from volunteers orientation,Sharing experiences and knowledge in my field,If someone is excluding people from being within a context,"It's tough to find the form that will be needed by others and will ""pay my bills"", it seems that people have other priorities than engage in what I offer. Though my inner calling helps me to stick to my ideas and continue exploration","I am not a scientist. What I'd like to share that lately I discovered that I am autistic and I explore enthusiastically now what it actually means. And I notice that there is much less information and modern studies about it than e.g. trauma impact on the brain and life, where for me it's very similar phenomena in a neuro-societal sense. I'd like more studies about it and even engage or initiate such studies",It feels important and timely,good/gratitude to be doing what I am doing,Embodied wisdom is way more powerful than the taught one,I can contribute to the world much better after I take care of my peace and joy,It just reminded me how complex and concerning the challenges are,Yes,"Noticing breathing, Affect and body sensations. Being between/in bodily/ mind sensations and thinking/concepts, practicing differences","yes, personal : awareness of( too much) distractions taking time and space from being mindful",NA,NA,NA
Participant 21,pre,68,Woman,"Baltimore, USA",White or European descent,"Healthcare, Science & Research, retired physician Internal Medicine and researcher in Behavioral Pharmacology / Addiction","retired, breathing and respiratory psychophysiology of smoking",was at Johns Hopkins University School of Medicine,Very Experienced (5+ Years),"Mindfulness, compassion - Loving Kindness meditation, walking,",No,Yes,MBSR,Yes,1 week silent meditation Drala Mountain Center,No,Yes,NA,NA,"Making sure study participants issues are discussed as a team, being available to the team","name on papers, number of publications",NA,NA,NA,Volunteering in clinic for Uninsured: a necessary endeavor to provide medical care to migrant populations who otherwise would have to access to primary care.,"The funding cuts to academia and NIH are devastating, as are the absurd policies being put in place at NIH that impact decision making in public health",NA,NA,NA,NA,NA,NA,NA,NA,my goals for this retreat: 1) to understand viscerally how internal peace impacts world peace. 2) to understand the impacts of early life trauma on reactivity and behaviors and how to address these for healing,NA,NA
Participant 22,"pre, follow_up",50,Woman,"Bergen, norway",White or European descent,Science & Research,NA,NA,Very Experienced (5+ Years),"Have been meditating for 20+ years. Do qigong too, sometimes yoga. Plum village sangha for past 4 years.",No,Yes,"MBSR, MBSR TT1, MiSP teacher training.",Yes,Plum village monastics retreat stirling uni 2025,Yes,Yes,"Woodlands and mountains and nearby garden. I at least see something even from window every day :) I’m very lucky. And have beautiful mountains to go up when weather\ health|family challenges permit
",Deep listening sangha (online/phone),Working in a team where everyone contributes with their different expertise.,Little competition thankfully.,NA,Multi disciplinary discussions and team work,Minimal,My work is interesting with wonderful colleagues but against my key values which I struggle hugely with.,NA,NA,"Challenging as my work is against my values, but its enjoying and stimulating and a good work environment",NA,NA,NA,Yes,Meditations chanting earth touchings (and singing and listening to songs :) ),More diverse and robust morning practice,NA,NA,NA
Participant 23,"pre, post",42,Man,"Dublin, Ireland",White or European descent,Information Technology,Software Systems Engineering and reliability,NA,Experienced (3-5 Years),"Morning and evening meditation.  Journalling, but irregularly.  Listening to books/podcasts/teachings about meditation and spiritual path.",Yes,No,NA,No,NA,No,Yes,"Canal greenway, visited a couple times a week, and river crossed on way to and from work",NA,"Meetings, reviewing other's work, seeking feedback, seeking or providing feedback, answers to questions, and unblocking.  Collaborating on resolving incidents/outages.","""Who owns or leads this area or project"" is something that seems sometimes subject to competition",That generation mindfulness and collective energy will aid collaboration. People and relationships over getting-things-done.,Exploring ambiguous requirements to try and come up with and validate solutions,"Not sure... there's sense of upholding the team and service, but not to outdo colleagues","It feels stressful - challenging to remember to take breaks or let go, many incidents and demands, a lot on the to-do list.  Economically I *could* stop working but yet don't feel safe to do so.","The challenge of remaining mindful while using a computer, and taking appropriate breaks to not become stressed and tense and eye-strained","It feels challenging to create joy and mindfulness, due to the habits of business, the urgent demands, and generally environmental and social cues point away from peace and mindfulness.",It feels like high pressure - there's a lot of emergencies to take care of.,That suffering and joy are possible in every moment.,"That insights and practices are training and preventative, but when one is already suffering, approach the suffering with care and compassion. That resilience is built both through training, and through difficult experiences.","Yes, realizing that peace starts with my own mind, and that influencing others starts with the quality of my presence, not my words",Yes,Daily meditation (slipped after a few weeks),Stronger boundary-setting. 1 month travel abroad,"My research career went as far as an M.Sc. only, I have wide-ranging scientific reading interests, and in recent years moving from only curiosity in the material, to the spiritual/mental side of reality as well.","That I appreciated the deeper dive dharma talks, and would also love to see also ""retreats for people who've been to one recently"" that also go past the basics.",NA
Participant 24,"pre, post",45,Woman,Vienna/Austria,White or European descent,"Education, Science & Research",Marine Biology/Coral Reef Ecology/Marine Protected Area Managmement,Chumbe Island Coral Park (CHICOP)/Scientific Advisor,Little (1-2 Years),"journaling, meditation",No,No,NA,No,NA,Yes,No,NA,Uhluru Sangha (online) that formed during the Art of Saving the Planet course in 2024,"Contributing to the bigger questions, letting go of own ego (my data/my findings), listening to each others ideas without judging - if collaboration happens, I feel a tingling in my body and joy","Limited sharing of information, a lot questions being ask without sharing own ideas/thoughts, focus and energy goes into 'own' project, very important who said what, competition prevents progress in any project, it feels like something is 'stuck'","Bringing the whole self to the table when establishing and maintaining a collaboration, showing own vulnerability instead of ego and connecting with each other via the 'interbeing' insight",NA,NA,Exciting and frustrating at the same time,"Collaborations beyond country borders, I find it challenging integrating mindfulness into traditional 'science approach', very frustrating as a scientist to know that we have a lot of good data to act on especially in terms of climate change and biodiversity conservation but society ignores these findings and people act based on own personal interests and agenda","I feel empowered that I can make choices every day and that so many more things are possible in my life and work then I had thought. I realize now that before the retreat, I was limiting my potential due to boundaries that I had established in my way of thinking.",NA,"1. increasing the capacity of holding pain and suffering (my own and others)
2. training to hold complexity of two truths",Compassion (especially beyond non-family and friends circle) is possible if I expand by thinking of 'me' being a separate self and if I manage to touch on the 'interbeing' insight. I also felt the possibility that resilience is not based on the fact of being 'tougher or bouncing back easier and quicker from an event than others' but acutally nurtured by my ability to being kind to myself and increasing my capacity of holding pain and suffering (my own and others),"Yes, absolutely because it gave me confidence that I can still act and inspirse others to take action without getting overwhelmed by the magnitude of the global challenges",NA,NA,NA,I'm very excited about this retreat and very much look forward to the talks and shared practises - thank you for offering this retreat and thank you for combining it with a scientific study.,Thank you so much for organizing this retreat which was indeed 'mind-blowing',NA
Participant 25,"pre, post",56,Woman,"Berlin, Germany",White or European descent,Arts; Psychology,Development of my personal growth,NA,Little (1-2 Years),Metta Meditation,No,No,NA,Yes,Za-Zen,No,Yes,large own planted terrace - every day; Parks - once a week,NA,NA,NA,It is fundamental to know and accept myself  for being able to accept the people I work with and to benefit from their full potential.,NA,NA,insecure,childhood traumas,Though I tend to feel I could do better I am already contributing to society.,NA,"As a traumatized person for me it is hard to keep being connected to my body, as well as to the persons around me.",Compassion for myself is the pre-condition for being compassionate with others.,When I am able to decrease my fear I feel less threatened of the needs of other people.,NA,NA,NA,NA,"Dear Ally, thank you very much for your presence in the Sharings. Though I didn‘t understand what exactly you are teaching, (please be more precise and distinct) I understood very well it is important.",NA
Participant 26,pre,68,Woman,"Sherbrooke, Quebec",White or European descent,Healthcare,NA,"Geneticist/Genetic counsellor with (and founder of) Regroupement québécois des maladies orphelines (RQMO), Quebec Coalition of Orphan Diseases), a non-profit organization",Little (1-2 Years),"Meditation (not regular). Structured reflection:  participation in workshops organized by ""People Before Patients"" based on some Buddhist traditions. One year participation in a Sangha (group meditation once a week). Irregular participation in online meditation with Stream Entering Monastery.",No,No,NA,Yes,I attended a retreat in Quebec at Village des Érables (associated with Plum Village),No,Yes,"I live in the countryside. My backyard is a small ""paradise"" with a variety of plants and animals. I go to my ""quiet place"" near the woods and a pond every morning (at least) and I walk in the adjancent wood most every day. In the winter, I try to do the same by snowshoeing.",NA,"Collaboration can be nice between non-profit organizations (patient organizations), but difficult with official institutions or organizations in healthcare. Often the medical community (clinic or research) or government organizations do not take non-profits seriously. Perspectives and interests can be different. However, collaboration can be great when the objective is well understood, that is, the best outcome for patients.","My saddest discovery was competition between non-profit organizations. It happens particularly when some leaders seem to have a ""big ego"". Difficult to collaborate or discuss new ideas. In the medical community, I find it difficult to discuss new or alternative concepts about disease(s). Competition sometimes means to dismiss these ideas or to ""put down"" those who hold them. When I was in research 25 yrs ago (genomics), I saw a lot of competition between researchers and research groups. I find now, that in the field of rare diseases, collaboration is more present. And even open access research is more widely accepted.",NA,NA,NA,"I feel that my work and that of our organization is useful for some people with unmet needs in the rare disease community. Whatever the context (economic, environmental), these needs always exist and will always exist. However, the needs may be greater with more economic disruption and deterioration of our health systems. More caring in the medical community is needed, but healthcare professionals need caring too.",I am more and more interested in a Buddhist-like approach to conducting science (openness and collaboration) and especially in caring for patients in our health system. Challenges or blocks are: the need for performance be it for career goals or money; societies priorities which are not necessarily in the best interest of the most vulnerable; more and more people wanting ot follow their individual goals instead of joining forces with others; being able to openly discuss from different perspectives or to discuss alternative concepts to those generally accepted.,NA,NA,NA,NA,NA,NA,NA,NA,"As I criticize and aspire for better ways  of doing things, I am not sure that I am always able to be better myself. I try to not judge, but not perfect yet :)     (And forgot to indicate in my title that I am also associated with a new organization, the Canadian iRARE Centres).",NA,NA
Participant 27,"pre, post, follow_up",35,Woman,"Berlin, Germany","Hispanic, Latino, or of Spanish origin",Academia,Computational neuroscience,"Humboldt-Universität zu Berlin, Technische Universität Berlin, Student",Little (1-2 Years),"I like to follow the Plum Village (Thich Nhat Hanh) tradition as well the Tergar (Yongey Mingyur Rinpoche) tradition. I try to regularly meditate, watch videos or read books that would make me think about my way of seeing things, sometimes I write down what I am learning, or what I am trying to understand related to my spiritual growth",Yes,No,NA,Yes,Vipassana retreat,No,Yes,"Next to my building there is a park with a lake and not so far away there are also some little ponds and cemeteries that I can reach just walking. I have a dog, so I try to do a good walk with her everyday, but sometimes my husband does it for me, and then there are some days in between until I go to nature again.",NA,NA,"I feel there is strong competition in the sense of finishing things fast, not giving space for breaks. People are punished when they take longer time to achieve something or when they want to follow another path that is not the standard (e.g. master student, PhD student, postdocs, some kind of professorship, etc.). Funding is also given mostly to younger people or recent graduates. So there is a race to do everything fast and without showing a hint of doubt. It is difficult to be consider for a position when there are gaps in the CV.","* Maybe not directly related, but I feel now that community is very important in my development and probably in the development of anything. That we can see through the eyes of others and understand ourselves in a deeper way. 

* Maybe also that collaboration in science is possible in a way that helps growing everybody and that is not about making the others small.

* The idea that we can be ourselves and acknowledge our human nature even in spaces where we are expected to be productive.","Within a research group there is support from the PI but also from other members of the group. We share ideas, code, give constructive feedback to the others.","There are few positions to be filled, so there is always a lot of competition to find a position, people need to be overqualified to be underpaid. Often people need to work for free to have the chance to gain experience. Excellence and fast and smooth careers are ""required"" by research groups, laboratories, universities, and there is not much space for people that take things slowly or don't follow a ""straight"" path.","It is difficult because I need to sit myself to work in front of the computer the whole day and I basically don't have any contact with anybody, I feel my supervisor is not interested in my work, I rely only on self-motivation to do stuff, but I get discouraged very easily. I feel disconnected and also feel that I waste my time, because I don't feel it is helping me nor others. The economic part is also difficult, it does not reflect all the efforts I do and that should be compensated.","I think I feel constant pressure to perform, always have to work more than what I am hired for or what would give me a more balance life, I feel I need to prove myself constantly, I get very anxious related to uncertainty of my future given offers are almost always short term, I feel it is sometimes difficult to accept that some research is done that likely won't improve anybody's lives but that involve experimenting with animals, I feel I am constantly in a race, I get very stressed and anxious because of deadlines, and also because I am always asked to do more (to explore other options, methods, parameters, etc.) and sometimes it feels like my supervisor is never happy or that my projects are never going to end, I feel the pressure of not being prepare for the opportunities that I would like to access to and that if I don't take them or can't take them now then there won't be opportunities later.","At the moment I am working on my master thesis, which does not really help to solve any problem and also does not provide a lot of room to discuss or interact with people, that is why I don't feel that happy with it. But anyways I feel the need to finish it to be able to continue in research and maybe work on something that can be more useful or help others in some way.","Right now I am doing an internship at a research group and there I feel very welcomed. I feel very much supported by my advisor and feel he is interested in the project advancing but also in me learning and understanding what we are doing. This internship gives structure to my day and when I know what to do I can work very focused, but when I don't understand certain things and when my code fails, it is difficult to stay calm, and sometimes I feel overwhelmed. This project has to do with fMRI and could give some light in how to use this kind of data to help predict the likelihood of having certain diseases, so I hope it is helpful afterwards. But sometimes the work is very abstract and I wonder if I could do something more direct to help animals or people. I do feel concerned about our planet earth, all the suffering we are causing to animals, the nature we are destroying, and also the unhappiness that I see sometimes in people, so I would like to help in a more direct way, but I do not know how to start.","* The idea that my body can guide me through my questions and inquiries; in the sense that I don't necessarily have to analyze everything in detail, but that somehow my body also knows what is best for me and I can listen to it and get some insight from it. 

* The theory that the mind is creating a model of the world, so that everything that we perceive/sense/think depends on our previous experiences and our current model of the world. The idea that my believes and intentions really have an impact in my everyday life. The fact that fear can block the update of the model. The idea that I am always looking through some lenses and that I have the power to choose which lenses I want to see through.",* Maybe the idea that I can take the time I need to feel well and that everyday I need spaces of rest to be able to offer calm and compassion in spaces where I need to be productive or work with others. To be compassionate with myself not putting pressure on myself to perform or to do things fast.,"I had been in other retreats in PV before and the idea of working on myself first to then be able to help with some energy that has the qualities of patience and compassion had been mentioned already. But this time I could really feel this, maybe it had a time too sink too; so I really understand that for me to be able to help in anyway to solve the global challenges, I need first to solve the inner wars within myself.",Yes,"Eating meditation, walking meditation, sitting meditation","This is my third retreat in Plum Village and I can say that this time I have been able to give better continuity to the mindful practices at home, I meditate more frequently and also read and watch talks of Thay or of the PV community in general. The retreat helped me a lot to deal with my anxiety.",NA,"I just want to express my gratitude to everybody and everything that made the retreat possible. It was an awesome experience for me and I learned a lot! I have always been very interested in how the mind works and from some time ago (due to me being depressed) really interested in how to bring well-being to my life and others' life and in meditation and buddhist practices, which was nicely intertwined in the retreat :) 

And for the sake of transparency/comparability I must say that there is a confounder related to my slightly negative answers in the pre-retreat survey; I had my period then and that really affects me sometimes, making it a bit difficult to stay in a good mood. And I realize my answers now are more positive, which definitely depends on the effect the retreat had in me, and also the volunteering during this time, which brings me a lot of peace and calm right now, but I think it is also related to me not having my period right now. So I am making your job a bit more difficult, sorry :)

","This survey makes me question how I can work in a more healthy way and how my work can also contribute to my sense of well being. I will try to stay mindful when I work, but I will also do my best to find a job that is more meaningful to me. Thanks for your guidance."
Participant 28,"pre, post, follow_up",45,Woman,Ubatuba/SP/Brazil,"Hispanic, Latino, or of Spanish origin, White or European descent","Academia, Education, Science & Research",My research area is based on social innovation and environmental impact,Universidade Federal de São Paulo,Very Experienced (5+ Years),"Vipassana meditation, mindful walking, anapana meditation and yoga practice",No,Yes,"MBSR, BMT 9body in Mind Training), CBCT (Congnitive-based compassion training)",Yes,"3 Vipassana course (but we don't consider Vipassana as a budhism, like Goenka Ji used to say), CBCT",No,Yes,I live close to the beach surrounded by Mata Atlântica (Atlantic rainforest),NA,"It is something essentially necessary, but is hardly recognised by the university. Being at a public university in Brazil, the challenges are enormous and for some years now I have been ‘swimming against the current'.","Compared to the labour market outside university, it's very relaxed, but most of the time you have to be aligned with the interests of your bosses, who aren't always ethical.","I left the retreat aware the Science limitations, incluing its function about includness. It is quite cleae the difference between the Science madw by the North Americans and Europeans in contrast to the Science made by the Global South. However, I am also quite confident about the diversity that the Science made in Brazil is able to keep doing.","In a field of innovation collaboration is crucial, however, I don’t feel we find a health Space for this. People often misunderstaning collaboration wireless competition, because of this put that answer before. To keep a mental health in a environnement like this is not easy, but with the méditation practice and reading the suttas, help me to keep the idea that is possible to make some changes (specially inside me).","When I think about it I feel the anger in others. It is not fair to blame all institution because of some behaviour, but when the superiors say some things or do some things, it is a example to follow. If you say and do good things, the whole enviromental will be amazîng, however, the opposite happens when deans and professors say you do bad things. We can chose how we can fill our Time and place…ignorance can make some people contamine places with not so Nice emotions. The point is also about what ses we choose to nourish.","My work holds significant social and cultural value, particularly in relation to environmental issues. I believe it is essential for both the immediate surroundings and the broader ecological context",I believe the greatest challenge is integrating well-being into the core of our work.,"This moment is a challenge of changes in my life, but I feel more confidence in trying ro do mt best for me and for others. This incluides my PhD theme which is about social mobility in poor areas in some specific biomas in Brasil.",It is the best Time to do it….but I need some help because I cannot do it alone,I have choices! (After a very good chat with Brother Phap Hanh - facilitator of my family),"So many, including the feeling of gratitute! I was able to understand the beauty of the differences between countries and cultures and how we can build something together. The differences are not about distance, it is about how we can convey the same message in a better way, afterwards, all beings want to be happy and free from suffering. Based on this, I learned how to look at the differences between me/'my' country/'my' Science with the lens of compassion and gratitute. I have been folded and changed by 'my' environment and only when I decided to look from another one I could realised how it important what I have been doing!","Yes! I am less reactive about the news and more hopeful. To give the proper attention of my intentions and be confident that some things can be changed (together), others not. But mostly, I can change my point of view and investigate my feelings in a space of joy (Brother Phan Hanh again!). This space give more clear to my mind and my daily practice. For now, I guess it is a beautiful achievement.",Yes,"Mindfulness, vipassana and pranayama","Yes, I was accepted for a phd project and I planning to left the univesity to help more people outside my bubble","I would like to talk more about this research. I have been part of research before and after retreats and I would like to understand more and talk about it.
Thank you and congratulations!","I would like to see more diversity along the retreat, in terms of people, gender, social scale and origins (from the Global South, specially because we have an amazing researches about mindfulness and the differences between cultures can help to undertand (and feel) better about mindfulness and its power in our daily lives).
I also would like to see more about recovering and mental health as this retreat I heard a lot about trauma (which is important to talk about, but how we can go through this in a joyful way?)",NA
