id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,anxiety,anxiety_follow_up,boredom,boredom_follow_up,calm,calm_follow_up,connection,connection_follow_up,curiosity,curiosity_follow_up,despair,despair_follow_up,frustrations,frustrations_follow_up,joy,joy_follow_up,collaboration,collaboration_follow_up,competition,competition_follow_up,colleague_wellness_support,colleague_wellness_support_follow_up,community,community_post,community_follow_up,wellness_enhance_work,wellness_enhance_work_follow_up,retreat_fosters_collab_scientist_practitioners,retreat_fosters_collab_attendees,retreat_wellness_support_post,body_aware,body_aware_post,body_aware_follow_up,feelings_aware,feelings_aware_post,feelings_aware_follow_up,mind_aware,mind_aware_post,mind_aware_follow_up,perception_aware,perception_aware_post,perception_aware_follow_up,happy,happy_post,happy_follow_up,life_interest,life_interest_post,life_interest_follow_up,life_satisfaction,life_satisfaction_post,life_satisfaction_follow_up,society_contribution,society_contribution_post,society_contribution_follow_up,belonging,belonging_post,belonging_follow_up,society_good,society_good_post,society_good_follow_up,people_good,people_good_post,people_good_follow_up,society_makes_sense,society_makes_sense_post,society_makes_sense_follow_up,personality_satisfaction,personality_satisfaction_post,personality_satisfaction_follow_up,life_responsibility_management,life_responsibility_management_post,life_responsibility_management_follow_up,warm_trusting_relationship,warm_trusting_relationship_post,warm_trusting_relationship_follow_up,growth_opportunities,growth_opportunities_post,growth_opportunities_follow_up,confidence_ideas,confidence_ideas_post,confidence_follow_up,life_direction,life_direction_post,life_direction_follow_up
Participant 11,"pre, post",36,Woman,Paris France,White or European descent,"Teaching yoga, writing",NA,NA,Moderate (2-3 Years),"Silent meditation, gratitude before eating",Yes,Yes,MBSR,Yes,"Introduction to Buddhism, Tushita meditation centre",Yes,No,NA,HOPI,Never,NA,Sometimes,NA,Always,NA,Often,NA,Often,NA,Rarely,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Neutral,NA,Neutral,Strongly Agree,NA,Strongly Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Often,Often,NA,Often,Often,NA,Often,Often,NA,Sometimes,Often,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About Once a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Once or Twice,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About Once a Week,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA
Participant 12,pre,30,Woman,Barcelona,White or European descent,"Academia, Healthcare, Science & Research",I'm in charge of developing digital twins of the brain in the context of Alzheimer's Disease with the aim of using them to personalize non-invasive stimulation therapies.,Senior Researcher Neuroelectrics + PhD candidate in biomedicine at Universitat Pompeu Fabra,Very Little,We have a Sangha in town where we meet every two weeks to meditate and do a dharma sharing.,Yes,No,NA,No,NA,Yes,Yes,"We have a green park with open air in 5min walk, and then in 30min we can be at the closest mountain or at the beach.",Sangha del Pi BCN,Often,NA,Never,NA,Sometimes,NA,Always,NA,Often,NA,Sometimes,NA,Rarely,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Strongly Agree,NA,NA,Disagree,NA,NA,NA,NA,Rarely,NA,NA,Rarely,NA,NA,Often,NA,NA,Never,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA
Participant 13,"pre, post",18,Man,Czech Republic,White or European descent,Education,NA,NA,None,NA,No,No,NA,Yes,Vipassana retreat in Thailand,No,Yes,"Forests, meadows

I go there rarely, because I feel having so little energy and motivation",NA,Often,NA,Often,NA,Rarely,NA,Sometimes,NA,Often,NA,Often,NA,Often,NA,Rarely,NA,Often,NA,Sometimes,NA,Agree,NA,Disagree,Strongly Agree,NA,Strongly Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Rarely,Often,NA,Rarely,Often,NA,Sometimes,Sometimes,NA,Rarely,Often,NA,About Once a Week,Almost Every Day,NA,About Once a Week,About 2 or 3 Times a Week,NA,Once or Twice,About Once a Week,NA,Never,Once or Twice,NA,About 2 or 3 Times a Week,Once or Twice,NA,Once or Twice,About Once a Week,NA,Almost Every Day,Every Day,NA,About 2 or 3 Times a Week,Never,NA,Never,Never,NA,Never,About Once a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,About 2 or 3 Times a Week,NA,Almost Every Day,Every Day,NA,Never,Never,NA
Participant 14,pre,56,Man,"Valencia, Spain",White or European descent,"Healthcare, Science & Research, Humanitarian, Coaching",Public Health Emergencies; Personal development,NA,Experienced (3-5 Years),"Meditation, Mindfulness (both in Plum Village Tradition), Grounding practices (Chi Gong), Regular Exercise, Microdosing psilocybin, Psilocybin experiences",Yes,Yes,MBSR,No,NA,Yes,No,NA,"Flowing river Sangha (online, a group of friends in the practice)",Rarely,NA,Rarely,NA,Often,NA,Sometimes,NA,Often,NA,Never,NA,Sometimes,NA,Sometimes,NA,Always,NA,Often,NA,Neutral,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA
Participant 15,pre,40,Man,Canada,White or European descent,"Academia, Education, Science & Research","Cognitive science, philosophy of science, contemplative science","Sessional Lecturer, University of Toronto",Very Experienced (5+ Years),"Meditation, walking meditation, mindfulness in daily life",No,No,NA,Yes,Goenka Vipassana retreats,Yes,Yes,"Toronto's ravine system. I try to go there for long walks at least once a week, but more often every couple of weeks.",Wake Up Toronto,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Agree,NA,NA,Strongly Agree,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Always,NA,NA,Often,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,Almost Every Day,NA,NA,Never,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,NA,NA,NA,About 2 or 3 Times a Week,NA,NA,NA,NA,NA
Participant 16,"pre, post, follow_up",42,Prefer not to answer,"The Hague, The Netherlands",Mixed,"Academia, Information Technology, Science & Research, Interdisciplinary Art Science Practice","I am doing interdisciplinary arts-based research into the perception, cognition and speculative ethics of AI voice. I am interested in understanding the transformation of cognition, perception and world-being that hyper-realistic AI voice systems may bring, and how to navigate their implications for the social and individual benefits of music as a human activity.","Affiliate researcher Sussex Digital Humanities Lab (University of Sussex), and Intelligent Instruments Lab (University of Iceland)",Moderate (2-3 Years),"Daily meditation and Buddhist practice, primarily a mix of the Thai Dhammakaya and the Plum Village traditions.",Yes,No,NA,Yes,Dhammakaya retreat in Thailand.,Yes,Yes,"I live relatively close to the North Sea, there is a small woodland and duneland area about 15 minutes biking distance from my apartment.","Pebbles Sangha (online), Zen Heart Sangha (The Hague)",Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Always,Always,Disagree,Disagree,Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,NA,Sometimes,Rarely,NA,Sometimes,Rarely,NA,Sometimes,Rarely,NA,Sometimes,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,Never,NA,Never,Never,NA,Never,Never,NA,Never,About Once a Week,NA,About Once a Week,Never,NA,Never,Once or Twice,NA,About Once a Week,Never,NA,About Once a Week,Once or Twice,NA,Once or Twice,Once or Twice,NA,About Once a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Never,NA,Never
Participant 17,pre,67,Man,United States,White or European descent,Science & Research,"Social Science, Religion, Psychology, Economics, Geopolitical Economics, Global Capital",Self funded international direct engagement,Very Experienced (5+ Years),"Plum Village tradition, breath and body awareness, insight meditation.",Yes,Yes,MBSR,Yes,Mindfulness Practice Center of Fairfax,No,Yes,"My home is on 3 acres with large trees, an urban farm, and noticeable wildlife.",NA,Rarely,NA,Rarely,NA,Often,NA,Often,NA,Always,NA,Rarely,NA,Sometimes,NA,Often,NA,Often,NA,Never,NA,Neutral,NA,Strongly Agree,NA,NA,Strongly Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Never,NA,NA,Every Day,NA,NA,Never,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA
Participant 18,"pre, post",30,Genderqueer or genderfluid,"Barcelona, Spain","Hispanic, Latino, or of Spanish origin, White or European descent","Academia, Arts",Ecofeminism and artistic practices,University of Lisbon; PhD candidate,Experienced (3-5 Years),I have been to plum village as a retreatant in 2023 and as a volunteer for 6 weeks in 2024. I have also done significant work with myself with different approaches for trauma that include therapy and somatic practices. I journal and practice yoga regularly and have a spiritual relationship to the world.,Yes,No,NA,No,NA,Yes,Yes,"Seaside, I go several times a week","Not very regularly - Barcelona wake up Sangha (in person), international queer sangha (online)",Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Neutral,NA,Agree,Neutral,NA,Neutral,NA,Neutral,Disagree,Agree,Often,Often,NA,Often,Often,NA,Sometimes,Sometimes,NA,Sometimes,Sometimes,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Never,Once or Twice,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA
Participant 19,pre,49,Woman,"Liberec, Czech Republic","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Education, Science & Research, Yoga teacher","Environmental microbiology, microplastics, textile microfibers, toxicity",Technical University of Liberec,Moderate (2-3 Years),I do mediation in yoga practice,Yes,No,NA,No,NA,Yes,Yes,"Forests and mountains surround my place. I often go for a walk and I go for a hike once a week in a forest with a decent distance, e.g. 5-20 km.",Plum Village in the Czech Republic,Rarely,NA,Rarely,NA,Sometimes,NA,Often,NA,Always,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Agree,NA,Strongly Agree,NA,NA,Disagree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA
Participant 20,"pre, post",33,Woman,Netherlands,White or European descent,"Education, Healthcare","psychology, wellbeing, mental health","I study at NSG, Gestalt Institute in the Netherlands (it's not high education but a professional one)",Moderate (2-3 Years),"meditations, sitting and more incorporated in life like mindful walk and moments of contemplation. Listening to dharma teachers. I mostly connect to the Plum Village tradition and am also enthusiastic in different western teachers (e.g. Tara Brach, Jack Kornfield, Henry Shukman)",Yes,No,NA,No,NA,No,Yes,I have a small forest 10-15 minutes walking from my house. I visit it 1-2 times a week,NA,Often,Never,Rarely,Never,Sometimes,Often,Often,Often,Always,Often,Sometimes,Never,Sometimes,Rarely,Often,Often,Always,Always,Rarely,Rarely,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Often,Always,Often,Often,Always,Often,Often,Often,Often,Often,Often,Often,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Every Day,Almost Every Day,Almost Every Day,About Once a Week,Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,About Once a Week,Every Day,Every Day,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Every Day,Almost Every Day
Participant 21,pre,68,Woman,"Baltimore, USA",White or European descent,"Healthcare, Science & Research, retired physician Internal Medicine and researcher in Behavioral Pharmacology / Addiction","retired, breathing and respiratory psychophysiology of smoking",was at Johns Hopkins University School of Medicine,Very Experienced (5+ Years),"Mindfulness, compassion - Loving Kindness meditation, walking,",No,Yes,MBSR,Yes,1 week silent meditation Drala Mountain Center,No,Yes,NA,NA,Never,NA,Rarely,NA,Never,NA,Often,NA,Often,NA,Never,NA,Sometimes,NA,Often,NA,Always,NA,Rarely,NA,Agree,NA,Agree,NA,NA,Neutral,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Never,NA,NA,Almost Every Day,NA,NA,Never,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA
Participant 22,"pre, follow_up",50,Woman,"Bergen, norway",White or European descent,Science & Research,NA,NA,Very Experienced (5+ Years),"Have been meditating for 20+ years. Do qigong too, sometimes yoga. Plum village sangha for past 4 years.",No,Yes,"MBSR, MBSR TT1, MiSP teacher training.",Yes,Plum village monastics retreat stirling uni 2025,Yes,Yes,"Woodlands and mountains and nearby garden. I at least see something even from window every day :) I’m very lucky. And have beautiful mountains to go up when weather\ health|family challenges permit
",Deep listening sangha (online/phone),Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Often,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Never,Rarely,Agree,Agree,Disagree,NA,Disagree,Disagree,Agree,NA,NA,NA,Rarely,NA,Sometimes,Sometimes,NA,Sometimes,Sometimes,NA,Often,Often,NA,Rarely,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Once or Twice,NA,About 2 or 3 Times a Week,Once or Twice,NA,Almost Every Day,About Once a Week,NA,Once or Twice,Once or Twice,NA,About 2 or 3 Times a Week,Every Day,NA,Every Day,Once or Twice,NA,Never,Every Day,NA,Every Day,Once or Twice,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Once or Twice,NA,Never,About Once a Week,NA,About Once a Week,Once or Twice,NA,About Once a Week
Participant 23,"pre, post",42,Man,"Dublin, Ireland",White or European descent,Information Technology,Software Systems Engineering and reliability,NA,Experienced (3-5 Years),"Morning and evening meditation.  Journalling, but irregularly.  Listening to books/podcasts/teachings about meditation and spiritual path.",Yes,No,NA,No,NA,No,Yes,"Canal greenway, visited a couple times a week, and river crossed on way to and from work",NA,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Rarely,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Every Day,Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About Once a Week,About Once a Week
Participant 24,"pre, post",45,Woman,Vienna/Austria,White or European descent,"Education, Science & Research",Marine Biology/Coral Reef Ecology/Marine Protected Area Managmement,Chumbe Island Coral Park (CHICOP)/Scientific Advisor,Little (1-2 Years),"journaling, meditation",No,No,NA,No,NA,Yes,No,NA,Uhluru Sangha (online) that formed during the Art of Saving the Planet course in 2024,Rarely,NA,Never,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Disagree,NA,Neutral,Strongly Agree,NA,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Often,Always,NA,Often,Always,NA,Often,Always,NA,Often,Always,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Every Day,Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About Once a Week,About 2 or 3 Times a Week,NA,About Once a Week,Every Day,NA,Once or Twice,About 2 or 3 Times a Week,NA,Once or Twice,Almost Every Day,NA,Never,About Once a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Every Day,Every Day,NA
Participant 25,"pre, post",56,Woman,"Berlin, Germany",White or European descent,Arts; Psychology,Development of my personal growth,NA,Little (1-2 Years),Metta Meditation,No,No,NA,Yes,Za-Zen,No,Yes,large own planted terrace - every day; Parks - once a week,NA,Sometimes,NA,Rarely,NA,Often,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Neutral,NA,Agree,Agree,NA,Agree,NA,Agree,Agree,Agree,Often,Often,NA,Often,Often,NA,Often,Often,NA,Often,Often,NA,About 2 or 3 Times a Week,About Once a Week,NA,Every Day,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Once or Twice,About 2 or 3 Times a Week,NA,Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About Once a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About Once a Week,Once or Twice,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA
Participant 26,pre,68,Woman,"Sherbrooke, Quebec",White or European descent,Healthcare,NA,"Geneticist/Genetic counsellor with (and founder of) Regroupement québécois des maladies orphelines (RQMO), Quebec Coalition of Orphan Diseases), a non-profit organization",Little (1-2 Years),"Meditation (not regular). Structured reflection:  participation in workshops organized by ""People Before Patients"" based on some Buddhist traditions. One year participation in a Sangha (group meditation once a week). Irregular participation in online meditation with Stream Entering Monastery.",No,No,NA,Yes,I attended a retreat in Quebec at Village des Érables (associated with Plum Village),No,Yes,"I live in the countryside. My backyard is a small ""paradise"" with a variety of plants and animals. I go to my ""quiet place"" near the woods and a pond every morning (at least) and I walk in the adjancent wood most every day. In the winter, I try to do the same by snowshoeing.",NA,Sometimes,NA,Never,NA,Sometimes,NA,Often,NA,Always,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Neutral,NA,Disagree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Always,NA,NA,Often,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,Never,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA
Participant 27,"pre, post, follow_up",35,Woman,"Berlin, Germany","Hispanic, Latino, or of Spanish origin",Academia,Computational neuroscience,"Humboldt-Universität zu Berlin, Technische Universität Berlin, Student",Little (1-2 Years),"I like to follow the Plum Village (Thich Nhat Hanh) tradition as well the Tergar (Yongey Mingyur Rinpoche) tradition. I try to regularly meditate, watch videos or read books that would make me think about my way of seeing things, sometimes I write down what I am learning, or what I am trying to understand related to my spiritual growth",Yes,No,NA,Yes,Vipassana retreat,No,Yes,"Next to my building there is a park with a lake and not so far away there are also some little ponds and cemeteries that I can reach just walking. I have a dog, so I try to do a good walk with her everyday, but sometimes my husband does it for me, and then there are some days in between until I go to nature again.",NA,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,About Once a Week,Almost Every Day,Almost Every Day,Never,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Never,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,Almost Every Day,Never,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About 2 or 3 Times a Week,Almost Every Day,Never,Once or Twice,About Once a Week,Once or Twice,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About Once a Week,About Once a Week,About Once a Week,About Once a Week,Almost Every Day,Never,Once or Twice,About Once a Week
Participant 28,"pre, post, follow_up",45,Woman,Ubatuba/SP/Brazil,"Hispanic, Latino, or of Spanish origin, White or European descent","Academia, Education, Science & Research",My research area is based on social innovation and environmental impact,Universidade Federal de São Paulo,Very Experienced (5+ Years),"Vipassana meditation, mindful walking, anapana meditation and yoga practice",No,Yes,"MBSR, BMT 9body in Mind Training), CBCT (Congnitive-based compassion training)",Yes,"3 Vipassana course (but we don't consider Vipassana as a budhism, like Goenka Ji used to say), CBCT",No,Yes,I live close to the beach surrounded by Mata Atlântica (Atlantic rainforest),NA,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Always,Often,Always,Often,Rarely,Never,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Sometimes,Often,Often,Often,Always,Often,Always,Always,Often,Always,Always,Often,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,Once or Twice,Once or Twice,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About Once a Week,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About Once a Week,About 2 or 3 Times a Week
Participant 29,pre,63,Woman,"Cornwall, Ontario",White or European descent,Healthcare,Somatically-based healing facilitation with a focus on interrupting the transmission of inter-generational trauma.,"Student, St Paul University, Ottawa.",Very Experienced (5+ Years),Sitting meditation and mindfulness practice in the Plum Village tradition.,Yes,No,NA,Yes,Tibetan Buddhism.,No,Yes,I belong to the St Lawrence River Basin. I am with the river daily. There are many birds. I garden.,NA,Never,NA,Never,NA,Always,NA,Always,NA,Always,NA,Sometimes,NA,Never,NA,Often,NA,Always,NA,Rarely,NA,Strongly Agree,NA,Agree,NA,NA,Strongly Agree,NA,NA,NA,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,About Once a Week,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA
